user_ID,video_ID,video_name,tracker
3,18,"['..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\BoatPart2_15_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\BoatPart2_15_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,19,"['..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\BoatPart2_30_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\BoatPart2_30_svp_60.mp4']",No tracking data submitted.
3,20,"['..\\videos\\source\\BirthdayFlashPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\BirthdayFlashPart2_15.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\BirthdayFlashPart2_15.mp4']",No tracking data submitted.
3,21,"['..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\BirthdayFlashPart1_15.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\BirthdayFlashPart1_15.mp4']",No tracking data submitted.
3,22,"['..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\BirthdayFlashPart1_30_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\BirthdayFlashPart1_30_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,23,"['..\\videos\\source\\BirthdayFlashPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\BirthdayFlashPart2_30.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\BirthdayFlashPart2_30.mp4']",No tracking data submitted.
3,24,"['..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\Bookcase_15_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\Bookcase_15_rife-ncnn-v23_60.mp4']",No tracking data submitted.
3,25,"['..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\BoatPart2_15_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BoatPart2_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\BoatPart2_15_svp_60.mp4']",No tracking data submitted.
3,26,"['..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\BirthdayFlashPart1_15_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BirthdayFlashPart1_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\BirthdayFlashPart1_15_svp_60.mp4']",No tracking data submitted.
3,27,"['..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\Bookcase_30.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Bookcase_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\Bookcase_30.mp4']",No tracking data submitted.
